,prolificID,condition,CF_question,agreement,animacy
588,5ed904c2bc8c1143e3e1a3fd,animate_rational,Q2,64,True
589,602ee3b62e34a2b511c23dc4,animate_rational,Q2,100,True
590,5f567b43fe297c0afa22468a,animate_rational,Q2,62,True
591,60bf58fdf814d2c749a35458,animate_rational,Q2,96,True
592,596de39c9fd5ee0001b704c3,animate_rational,Q2,89,True
593,61109dc89f0919c20acd4fde,animate_rational,Q2,26,True
594,5a169a0eff266c0001d210a2,animate_rational,Q2,87,True
595,613f69da6ef492ba52e7c03b,animate_rational,Q2,100,True
596,60a546b01830edd7fea03131,animate_rational,Q2,77,True
597,60784c0aa62f84a2f2312c30,animate_rational,Q2,49,True
598,5c8644c572a7ef00127833d9,animate_rational,Q2,50,True
599,60fd12b7c6659dbf9040ae31,animate_rational,Q2,73,True
600,5cae3985d14c8a0017678f48,animate_rational,Q2,90,True
601,60d5f6516e0ed62660ccc77d,animate_rational,Q2,66,True
602,6140e6099a577b63b857bc2a,animate_rational,Q2,82,True
603,5f349aefc70f503b7444a206,animate_rational,Q2,0,True
604,60bff9b7d3f01e098febd141,animate_rational,Q2,73,True
605,60535e239ad6c5ce9804d21b,animate_rational,Q2,100,True
606,6166d3d00139b6f6202df09d,animate_rational,Q2,71,True
607,604bd4be02a18bed5762f304,animate_rational,Q2,100,True
608,60524ff6882110ed9bcb4171,animate_rational,Q2,24,True
609,5c6342cbfaca5c000186e2f5,animate_rational,Q2,100,True
610,5fdb9b8329db950168cbb3b8,animate_rational,Q2,100,True
611,5e409e03bf231d2e7c0f6bd3,animate_rational,Q2,78,True
612,60a3b9f759634d632f1dfbb9,animate_rational,Q2,0,True
613,5ff0659aeed16d40885e1109,animate_rational,Q2,73,True
614,60fd1a255a13e9cd798cfbef,animate_rational,Q2,0,True
615,5fb997d62e675a62d4512560,animate_rational,Q2,100,True
616,60618b3bff746e7fbfc84910,animate_rational,Q2,0,True
617,5a4bd1533646f90001b43676,animate_rational,Q2,100,True
618,5f8b3e21f8638825023495db,animate_rational,Q2,84,True
619,60bd3ad70310c167f842a629,animate_rational,Q2,50,True
620,607349eb37348422bd6ce08f,animate_rational,Q2,0,True
621,60b4e3f2a95c7af556bb96ee,animate_rational,Q2,92,True
622,578950e925cb7100012895cf,animate_rational,Q2,34,True
623,5b48d7af390574000126e4ba,animate_rational,Q2,89,True
624,608c5de209fd53e1c8d4f584,animate_rational,Q2,54,True
625,55d0761e34e9060012e5782a,animate_rational,Q2,92,True
626,5ad61fa0a38d7b00013af9c7,animate_rational,Q2,90,True
627,61471c24095efd3b729f6879,animate_rational,Q2,90,True
628,60428cbd49a746187ea0b00d,animate_rational,Q2,100,True
629,60e879749628668e30a0fbf2,animate_rational,Q2,72,True
630,616c98c5821cbeeffb348e40,animate_rational,Q2,81,True
631,5e1769fb068b44034b2dc3b8,animate_rational,Q2,56,True
632,5fa1608969da58235926668c,animate_rational,Q2,39,True
633,5fb6e9e9421e33117c3eafb2,animate_rational,Q2,87,True
634,6017df63bb02083698436ead,animate_rational,Q2,73,True
635,60677ddace28d55c0e124a4d,animate_rational,Q2,18,True
636,5d8bb1cb08831c00199158e1,animate_rational,Q2,100,True
637,57719c19b425c40001433b1f,animate_rational,Q2,68,True
638,606c46808be22792df92c0f9,animate_rational,Q2,100,True
